"","plot","trt","census","season_established","species","recruits"
"1",1,"CTL",2,2,"greaus",5
"2",2,"OTC",2,2,"greaus",2
"3",3,"CTL",2,2,"greaus",5
"4",4,"OTC",2,2,"greaus",9
"5",5,"CTL",2,2,"greaus",9
"6",6,"OTC",2,2,"greaus",1
"7",7,"CTL",2,2,"greaus",7
"8",8,"OTC",2,2,"greaus",7
"9",9,"CTL",2,2,"greaus",21
"10",10,"OTC",2,2,"greaus",1
"11",11,"CTL",2,2,"greaus",3
"12",12,"OTC",2,2,"greaus",11
"13",13,"OTC",2,2,"greaus",12
"14",14,"CTL",2,2,"greaus",4
"15",15,"OTC",2,2,"greaus",0
"16",16,"CTL",2,2,"greaus",10
"17",17,"OTC",2,2,"greaus",10
"18",18,"CTL",2,2,"greaus",3
"19",19,"CTL",2,2,"greaus",10
"20",20,"OTC",2,2,"greaus",33
"21",21,"OTC",2,2,"greaus",17
"22",22,"CTL",2,2,"greaus",5
"23",23,"CTL",2,2,"greaus",3
"24",24,"OTC",2,2,"greaus",3
"25",25,"CTL",2,2,"greaus",42
"26",26,"OTC",2,2,"greaus",8
"27",27,"CTL",2,2,"greaus",0
"28",28,"OTC",2,2,"greaus",9
"29",29,"CTL",2,2,"greaus",3
"30",30,"OTC",2,2,"greaus",4
"31",31,"CTL",2,2,"greaus",3
"32",32,"OTC",2,2,"greaus",6
"33",1,"CTL",4,4,"greaus",2
"34",2,"OTC",4,4,"greaus",0
"35",3,"CTL",4,4,"greaus",0
"36",4,"OTC",4,4,"greaus",3
"37",5,"CTL",4,4,"greaus",3
"38",6,"OTC",4,4,"greaus",0
"39",7,"CTL",4,4,"greaus",0
"40",8,"OTC",4,4,"greaus",1
"41",9,"CTL",4,4,"greaus",0
"42",10,"OTC",4,4,"greaus",0
"43",11,"CTL",4,4,"greaus",0
"44",12,"OTC",4,4,"greaus",0
"45",13,"OTC",4,4,"greaus",0
"46",14,"CTL",4,4,"greaus",0
"47",15,"OTC",4,4,"greaus",0
"48",16,"CTL",4,4,"greaus",0
"49",17,"OTC",4,4,"greaus",1
"50",18,"CTL",4,4,"greaus",0
"51",19,"CTL",4,4,"greaus",0
"52",20,"OTC",4,4,"greaus",1
"53",21,"OTC",4,4,"greaus",2
"54",22,"CTL",4,4,"greaus",2
"55",23,"CTL",4,4,"greaus",2
"56",24,"OTC",4,4,"greaus",3
"57",25,"CTL",4,4,"greaus",0
"58",26,"OTC",4,4,"greaus",1
"59",27,"CTL",4,4,"greaus",0
"60",28,"OTC",4,4,"greaus",1
"61",29,"CTL",4,4,"greaus",2
"62",30,"OTC",4,4,"greaus",0
"63",31,"CTL",4,4,"greaus",0
"64",32,"OTC",4,4,"greaus",4
